Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Population density (people per sq. km of land area),EN.POP.DNST,Qatar,QAT,38.04263566,55.63626184,164.1395349,175.3230835,192.729765,210.1456049,225.8630113,236.0100087,240.7947781,244.3198433,240.2423847,..
Population density (people per sq. km of land area),EN.POP.DNST,Romania,ROU,101.1634402,97.70132341,87.20126511,86.87429031,86.53068063,86.12489569,85.63224531,85.13871262,84.63999478,84.19527121,83.73283206,..
Population density (people per sq. km of land area),EN.POP.DNST,Russian Federation,RUS,9.028057255,8.949015709,8.744144699,8.762785258,8.78187755,8.798804045,8.813796348,8.823220738,8.822067892,8.817695994,8.797354989,..
Population density (people per sq. km of land area),EN.POP.DNST,Rwanda,RWA,296.7151196,328.7389137,439.4136198,449.9939197,460.8208756,471.9480746,483.6197406,495.7575598,507.9776246,520.2686664,532.8886096,..
Population density (people per sq. km of land area),EN.POP.DNST,Samoa,WSM,59.42968198,65.0204947,70.00848057,70.64982332,71.29222615,71.93321555,72.63038869,74.68705036,75.43201439,76.22482014,77.31258993,..
Population density (people per sq. km of land area),EN.POP.DNST,San Marino,SMR,385.5333333,447.05,552.2,554.75,556.4833333,559.5,563.9,567.6,569.2666667,569.6333333,566.7833333,..
Population density (people per sq. km of land area),EN.POP.DNST,Sao Tome and Principe,STP,125.3572917,149.7020833,197.8375,201.8302083,205.7260417,209.5041667,213.1583333,216.7041667,220.15,223.540625,227.7510417,..
Population density (people per sq. km of land area),EN.POP.DNST,Saudi Arabia,SAU,7.445149301,10.02348711,14.33766869,14.64513395,14.94427755,15.23468407,15.54469249,15.90607111,16.28985249,16.66629235,16.7452549,..
Population density (people per sq. km of land area),EN.POP.DNST,Senegal,SEN,39.1419571,50.40402535,68.72608425,70.6153119,72.56172025,74.56594297,76.61848024,78.72951228,80.89601101,83.10798837,85.36913728,..
Population density (people per sq. km of land area),EN.POP.DNST,Serbia,SRB,86.73679396,85.94038418,82.31279442,81.91324034,81.5295678,81.12717814,80.70343014,80.27507432,79.8376858,79.41041619,78.88321518,..
